artificial00	Passer domesticus	Passer domesticus
artificial01	Cupressus funebris	Cupressus funebris
artificial02	H. gigas	H. gigas
artificial03	Passer domesticus	Passer domesticus
artificial04	Cajanus indicus var. flavus	Cajanus indicus var. flavus
artificial05	Passer domesticus	Passer domesticus
artificial06	H. gigas	H. gigas
artificial07	Yi qi	Yi qi
artificial08	⨉Dryostichum singulare	⨉Dryostichum singulare
artificial09	A. albifrons	A. albifrons
artificial10	A. aromaticus	A. aromaticus
artificial11	A. h. berezowskii	A. h. berezowskii
artificial12	Aa erosa	Aa erosa
artificial13	Amaranthus retroflexus	Amaranthus retroflexus
artificial14	Andropogon aromaticus	Andropogon aromaticus
artificial15	Anser albifrons	Anser albifrons
artificial16	Anthus hodgsoni berezowskii	Anthus hodgsoni berezowskii
artificial17	Balaena mysticetus	Balaena mysticetus
artificial18	Belbolla huanghaiensis	Belbolla huanghaiensis
artificial19	Belbolla huanghaiensis	Belbolla huanghaiensis
artificial20	Berberis darwinii subsp. darwinii	Berberis darwinii subsp. darwinii
artificial21	Berberis darwinii subsp. darwinii	Berberis darwinii subsp. darwinii
artificial22	Berberis darwinii subsp. darwinii	Berberis darwinii subsp. darwinii
artificial23	Berberis darwinii subsp. darwinii	Berberis darwinii subsp. darwinii
artificial24	Berberis darwinii subspp.	Berberis darwinii subspp.
artificial25	Betula alba	Betula alba
artificial26	Branta albifrons	Branta albifrons
artificial27	C. macnabiana ⨉ sargentii	C. macnabiana ⨉ sargentii
artificial28	C. macnabiana ⨉ sargentii	C. macnabiana ⨉ sargentii
artificial29	C. sempervirens	C. sempervirens
artificial30	Cajanus bicolor	Cajanus bicolor
artificial31	Callitropsis macnabiana ⨉ sargentii	Callitropsis macnabiana ⨉ sargentii
artificial32	Canis spp.	Canis spp.
artificial33	Carex bebbii	Carex bebbii
artificial34	Carex bebbii	Carex bebbii
artificial35	Centaurea cyanus	Centaurea cyanus
artificial36	Chameacyparis thyoides var. alba	Chameacyparis thyoides var. alba
artificial37	Chameacyparis thyoides subsp. alba	Chameacyparis thyoides subsp. alba
artificial38	Corvus nasicus	Corvus nasicus
artificial39	Cupressus ⨉notablis	Cupressus ⨉notablis
artificial40	Cupressus arizonica var. glabra	Cupressus arizonica var. glabra
artificial41	Cupressus sempervirens subsp. sempervirens var. sempervirens	Cupressus sempervirens subsp. sempervirens var. sempervirens
artificial42	Cupressus macnabiana ⨉ sargentii	Cupressus macnabiana ⨉ sargentii
artificial43	Cupressus sempervirens	Cupressus sempervirens
artificial44	Cyclamen hederifolium f. albiflorum	Cyclamen hederifolium f. albiflorum
artificial45	Cyclamen hederifolium var. albiflorum	Cyclamen hederifolium var. albiflorum
artificial46	Dryopteris ⨉ Polystichum singulare	Dryopteris ⨉ Polystichum singulare
