copious001	D. hasseltii	Dipterocarpus hasseltii
copious001	D. pilosus	Dipterocarpus pilosus
copious001	D. turbinatus	Dipterocarpus turbinatus
copious001	D. turbinatus var. andamanicus	Dipterocarpus turbinatus var. andamanicus
copious001	Dipterocarpus sp. aff. D. turbinato	Dipterocarpus turbinato
copious001	Dipterocarpus trinervis	Dipterocarpus trinervis
copious002	P. stellata	Parashorea stellata
copious002	Parashorea stellata	Parashorea stellata
copious002	S. assamica	Shorea assamica
copious002	S. floribunda	Shorea floribunda
copious002	S. gratissima	Shorea gratissima
copious002	S. laccifera	Shorea laccifera
copious002	S. Talura	Shorea talura
copious002	Shorea stellata	Shorea stellata
copious002	Vatica laccifera	Vatica laccifera
copious003	Holocentrus leopardus	Holocentrus leopardus
copious003	Plectropoma leopard	Plectropoma leopard
copious003	Plectropoma leopardus	Plectropoma leopardus
copious003	Plectropoma pessuliferum	Plectropoma pessuliferum
copious003	Plectropomus leopardus	Plectropomus leopardus
copious003	Plectropomus maculatus	Plectropomus maculatus
copious005	S. curranii	Schizostachyum curranii
copious005	S. fenixii	Schizostachyum fenixii
copious005	S. hirtiflorum	Schizostachyum hirtiflorum
copious005	S. lumampao	Schizostachyum lumampao
copious005	S. luzonicum	Schizostachyum luzonicum
copious005	S. toppingii	Schizostachyum toppingii
copious005	Schizostachyum lumampao	Schizostachyum lumampao
copious005	Schizostachyum palawanense	Schizostachyum palawanense
copious005	Schizostachyum textorium	Schizostachyum textorium
copious006	P. banahao	Platymantis banahao
copious006	P. guentheri	Platymantis guentheri
copious006	P. ingeri	Platymantis ingeri
copious006	P. luzonensis	Platymantis luzonensis
copious006	P. negrosensis	Platymantis negrosensis
copious006	P. rabori	Platymantis rabori
copious006	Platymantis guentheri	Platymantis guentheri
copious006	Platymantis worcesteri	Platymantis worcesteri
copious007	Cavallium urens	Cavallium urens
copious007	Sterculia urens	Sterculia urens
copious008	Anacardium occidentale	Anacardium occidentale
copious008	Calophyllum inophyllum	Calophyllum inophyllum
copious008	Cassytha filiformis	Cassytha filiformis
copious008	Cedrela toona	Cedrela toona
copious008	Chasalia curviflora	Chasalia curviflora
copious008	Chikrassia tabularis	Chikrassia tabularis
copious008	Dipterocarpus turbinates	Dipterocarpus turbinates
copious008	Ipomaea biloba	Ipomaea biloba
copious008	Premna integrifolia	Premna integrifolia
copious008	Tetrameles nudiflora	Tetrameles nudiflora
copious008	Vitex negundo	Vitex negundo
copious009	D. congestiflora	Doona congestiflora
copious009	D. cordifolia	Doona cordifolia
copious010	Meranti kerangas	Meranti kerangas
copious010	S. agsaboensis	Shorea agsaboensis
copious010	S. ovata	Shorea ovata
copious010	S. parvifolia	Shorea parvifolia
copious010	S. pauciflora	Shorea pauciflora
copious010	S. plagata	Shorea plagata
copious010	Shorea ovata	Shorea ovata
copious010	Shorea rubra	Shorea rubra
copious012	V. lanceaefolia	Vatica lanceaefolia
copious012	V. trigyna	Vatica trigyna
copious012	Vateria lanceafolia	Vateria lanceafolia
copious013	Bandicota gigantea	Bandicota gigantea
copious013	Dugong dugon	Dugong dugon
copious013	Funambulus vittatus	Funambulus vittatus
copious013	Macacus nemestrinus	Macacus nemestrinus
copious013	Macacus speciosus	Macacus speciosus
copious013	Phyllorhina larvata	Phyllorhina larvata
copious013	Pt. innornatus	Pteromys innornatus
copious013	Ft. philippensis	Ft. philippensis
copious013	Pteromys petaurista	Pteromys petaurista
copious013	Semnopithecus albipes	Semnopithecus albipes
copious013	Trichecus dugon	Trichecus dugon
copious013	Vespertilio capaccinii	Vespertilio capaccinii
copious013	Vespertilio chinensis	Vespertilio chinensis
copious013	Vespertilio muricola	Vespertilio muricola
copious013	Vesperugo abramus	Vesperugo abramus
copious013	Vesperugo maurus	Vesperugo maurus
copious013	Vesperugo noctula	Vesperugo noctula
copious013	Vesperugo tylopus	Vesperugo tylopus
copious013	Viverra zibetha	Viverra zibetha
copious013	Viverricula malacensis	Viverricula malacensis
copious014	Cacatua maturopygia	Cacatua maturopygia
copious015	Vatica Kelsalli	Vatica kelsalli
copious015	Vatica Ridleyana	Vatica ridleyana
copious015	Vatica Wallichii	Vatica wallichii
copious016	Calamaria longiceps	Calamaria longiceps
copious016	Pscudoihahdium longiceps	Pscudoihahdium longiceps
copious016	Pseudorhabdium longiceps	Pseudorhabdium longiceps
