species001	Plasmodium falciparum	Plasmodium falciparum
species002	C. guilliermondii	Candida guilliermondii
species002	Candida guilliermondii	Candida guilliermondii
species004	T. melanosporum	Tuber melanosporum
species004	Tuber melanosporum	Tuber melanosporum
species005	Aspergillus nidulans	Aspergillus nidulans
species006	Aspergillus nidulans	Aspergillus nidulans
species007	D. derouxi	Dysteria derouxi
species007	Dysteria legumen	Dysteria legumen
species007	Dysteria proraefrons	Dysteria proraefrons
species007	Mirodysteria decora	Mirodysteria decora
species008	Geleia simplex	Geleia simplex
species008	Geleia sinica	Geleia sinica
species008	K. flavus	Kentrophoros flavus
species008	K. gracilis	Kentrophoros gracilis
species008	Kentrophoros flavus	Kentrophoros flavus
species008	Kentrophoros gracilis	Kentrophoros gracilis
species008	Kentrophoros species	Kentrophoros species
species011	Neisseria gonorrhoeae	Neisseria gonorrhoeae
species011	Neisseria meningitidis	Neisseria meningitidis
species013	Aspergillus fumigatus	Aspergillus fumigatus
species013	Candida albicans	Candida albicans
species015	Picea abies	Picea abies
species016	Leuciscus leuciscus	Leuciscus leuciscus
species016	T. polycolpus	Tracheliastes polycolpus
species016	Tracheliastes polycolpus	Tracheliastes polycolpus
species018	Solanum lycopersicum	Solanum lycopersicum
species019	Dunaliella tertiolecta	Dunaliella tertiolecta
species020	Pelargonium x hortorum	Pelargonium ⨉hortorum
species022	Arabidopsis thaliana	Arabidopsis thaliana
species023	Lolium perenne	Lolium perenne
species024	Cotterillia bromelicola	Cotterillia bromelicola
species024	Tillandsia heterophylla	Tillandsia heterophylla
species025	S. litura	Spodoptera litura
species025	Spodoptera litura	Spodoptera litura
species026	Rana limnocharis	Rana limnocharis
species027	Oramoeba fumarolia	Oramoeba fumarolia
species027	Stachyamoeba sp.	Stachyamoeba sp.
species027	Vrihiamoeba italica	Vrihiamoeba italica
species028	C. albicans	Candida albicans
species028	Candida albicans	Candida albicans
species028	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species033	Blastomyces dermatitidis	Blastomyces dermatitidis
species033	Chaetomium globosum	Chaetomium globosum
species034	C. neoformans	Cryptococcus neoformans
species034	Cryptococcus neoformans	Cryptococcus neoformans
species034	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species034	Ustilago maydis	Ustilago maydis
species036	Bythotrephes longimanus	Bythotrephes longimanus
species036	Holopedium gibberum	Holopedium gibberum
species037	Quercus robur	Quercus robur
species040	Diabrotica virgifera	Diabrotica virgifera
species040	S. littoralis	Spodoptera littoralis
species040	Spodoptera littoralis	Spodoptera littoralis
species040	Zea mays	Zea mays
species041	A. nidulans	Aspergillus nidulans
species041	Aspergillus nidulans	Aspergillus nidulans
species041	N. crassa	Neurospora crassa
species041	Neurospora crassa	Neurospora crassa
species042	A. galaxii	Acanthocephalus galaxii
species042	Acanthocephalus galaxii	Acanthocephalus galaxii
species042	Galaxias anomalus	Galaxias anomalus
species042	Salmo trutta	Salmo trutta
species043	P. circumflexum	Plasmodium circumflexum
species043	Plasmodium relictum	Plasmodium relictum
species044	Coereba flaveola	Coereba flaveola
species044	Haemoproteus spp.	Haemoproteus spp.
species044	Loxigilla barbadensis	Loxigilla barbadensis
species044	Loxigilla noctis	Loxigilla noctis
